sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	TIGRFAM	TIGR01771	L-LDH-NAD: L-lactate dehydrogenase	25	324	4.7E-123	TRUE	06-12-2020	IPR011304	L-lactate dehydrogenase	P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	PANTHER	PTHR43128:SF18	L-LACTATE DEHYDROGENASE	2	332	0.0	TRUE	06-12-2020			P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	2	160	7.01E-79	TRUE	06-12-2020	IPR036291	NAD(P)-binding domain superfamily	P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	Hamap	MF_00488	L-lactate dehydrogenase [ldh].	20	331	37.486	TRUE	06-12-2020	IPR011304	L-lactate dehydrogenase	P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	CDD	cd05293	LDH_1	19	329	0.0	TRUE	06-12-2020			P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	PRINTS	PR00086	L-lactate dehydrogenase signature	22	46	1.5E-62	TRUE	06-12-2020	IPR001557	L-lactate/malate dehydrogenase	P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	PRINTS	PR00086	L-lactate dehydrogenase signature	47	71	1.5E-62	TRUE	06-12-2020	IPR001557	L-lactate/malate dehydrogenase	P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	PRINTS	PR00086	L-lactate dehydrogenase signature	134	154	1.5E-62	TRUE	06-12-2020	IPR001557	L-lactate/malate dehydrogenase	P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	PRINTS	PR00086	L-lactate dehydrogenase signature	158	176	1.5E-62	TRUE	06-12-2020	IPR001557	L-lactate/malate dehydrogenase	P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	PRINTS	PR00086	L-lactate dehydrogenase signature	188	201	1.5E-62	TRUE	06-12-2020	IPR001557	L-lactate/malate dehydrogenase	P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	PANTHER	PTHR43128	L-2-HYDROXYCARBOXYLATE DEHYDROGENASE (NAD(P)(+))	2	332	0.0	TRUE	06-12-2020			P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	Pfam	PF00056	lactate/malate dehydrogenase, NAD binding domain	22	160	4.1E-50	TRUE	06-12-2020	IPR001236	Lactate/malate dehydrogenase, N-terminal	P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	PIRSF	PIRSF000102	Lac_mal_DH	17	332	1.3E-108	TRUE	06-12-2020	IPR001557	L-lactate/malate dehydrogenase	P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	Gene3D	G3DSA:3.90.110.10	-	163	332	2.6E-80	TRUE	06-12-2020	IPR015955	Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal	P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	Pfam	PF02866	lactate/malate dehydrogenase, alpha/beta C-terminal domain	164	324	7.8E-23	TRUE	06-12-2020	IPR022383	Lactate/malate dehydrogenase, C-terminal	P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	ProSitePatterns	PS00064	L-lactate dehydrogenase active site.	190	196	-	TRUE	06-12-2020	IPR018177	L-lactate dehydrogenase, active site	P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	Gene3D	G3DSA:3.40.50.720	-	1	162	2.3E-77	TRUE	06-12-2020			P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	ProSiteProfiles	PS51257	Prokaryotic membrane lipoprotein lipid attachment site profile.	1	35	5.0	TRUE	06-12-2020			P06151
sp|P06151|LDHA_MOUSE	5b2c8c312bd4ac0b28c77bbce52cc640	332	SUPERFAMILY	SSF56327	LDH C-terminal domain-like	161	330	1.23E-62	TRUE	06-12-2020	IPR015955	Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal	P06151
sp|Q60668|HNRPD_MOUSE	94c868965bceed86b3ccf737bff9d9c7	355	PANTHER	PTHR48033:SF3	HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN D0	4	355	0.0	TRUE	06-12-2020			Q60668
